訓練單位名稱,縣市別辦訓地,課程代碼,課程名稱,訓練時數,訓練人次,每人訓練費用,開訓日期,結訓日期
北訓電腦有限公司附設職業訓練中心,高雄市,156860,視覺化網頁與JS互動元件設計實務班,36,20,6840,20240819,20240930
北訓電腦有限公司附設職業訓練中心,高雄市,156861,Python與物聯網MicroPython應用實務班,42,20,8730,20240903,20241024
長榮大學,高雄市,156868,IoT感測控制及視覺分析開發班,36,20,8500,20240818,20240922
輔英科技大學,高雄市,156875,Python網路爬蟲與資料分析班,42,25,7960,20240907,20241019
新高市廣告代理業職業工會,高雄市,156884,混合雲端平台的廣告產業應用實務班,47,13,8910,20241203,20250109
精誠資訊股份有限公司附設職業訓練中心,高雄市,156892,Python資料處理實務班,36,25,6350,20240817,20240928
精誠資訊股份有限公司附設職業訓練中心,高雄市,156893,AI深度學習實務班,42,25,7200,20240820,20241008
精誠資訊股份有限公司附設職業訓練中心,高雄市,156894,Power BI商業智慧數據分析實務班,36,25,6350,20240910,20241024
國立高雄科技大學,高雄市,156898,零碳建築學士學分班,36,40,6830,20240914,20241019
國立高雄科技大學,高雄市,156902,零碳建築學士學分班,36,40,6830,20241026,20241130
國立高雄科技大學,高雄市,156903,西門子系列可程式控制學士學分班,42,40,8800,20241012,20241123
國立高雄科技大學,高雄市,156904,組織溫室氣體排放量查證學士學分班,36,30,8000,20240914,20241019
國立高雄科技大學,高雄市,156905,人工智慧影像處理應用碩士學分班,54,15,12000,20240817,20241012
國立高雄科技大學,高雄市,156906,三菱Q系列可程式控制進階學士學分班,42,25,8800,20240831,20241005
國立高雄科技大學,高雄市,156907,BIM REVIT建築工程審查報告書實務班,36,30,8800,20241006,20241103
國立高雄科技大學,高雄市,156908,Python程式設計與網路爬蟲學士學分班,36,30,8000,20240831,20241005
國立高雄科技大學,高雄市,156910,雷雕想像刻畫創意之智慧製造實作與應用學士學分班,36,20,8800,20240907,20241012
社團法人台灣產學研合作發展策進會,高雄市,156926,AI數位創新行銷班,35,20,6610,20240817,20240914
社團法人台灣產學研合作發展策進會,高雄市,156927,ASP.NET Core MVC資料庫應用程式開發實務班,42,25,7930,20240831,20241005
財團法人中國生產力中心附設高雄服務處,高雄市,156929,企業永續碳管理實務班,24,30,6000,20240907,20241019
社團法人台灣創造活動發展協會,高雄市,156938,Python影像辨識與生成式AI應用班,42,23,6930,20240817,20240928
社團法人台灣創造活動發展協會,高雄市,156939,AI邊緣運算無人機應用設計實務班,48,25,8640,20240818,20241006
社團法人台灣創造活動發展協會,高雄市,156940,Python大數據分析應用設計實務班,42,23,6930,20240907,20241019
高雄市太陽能設備裝修職業工會,高雄市,156948,光電儲能產業與產品永續管理實務班,49,25,7900,20240810,20240921
高雄市太陽能設備裝修職業工會,高雄市,156949,太陽光電案場開發班,49,20,9270,20240811,20240922
社團法人中華成人教育認證協會,高雄市,156973,ChatGPT與Line BOT智慧助手實務班,42,20,7890,20240804,20240908
社團法人中華成人教育認證協會,高雄市,156974,物聯網整合開發與影像辨識實務班,42,20,8880,20240905,20241212
